win,dcn,drn,diffc,diffr,lndiffc,index,n,cash,roy,oroy,ocash
0,.558,.18,52.65585,-.0333333,.1056749,.296,1,525.0729,.1666667,.2,472.417
1,.442,.812,-52.65585,.0333333,-.1056749,.296,1,472.417,.2,.1666667,525.0729
0,.526,.18,22.13177,-.0333333,.043064,.2,2,525.0729,.1666667,.2,502.9411
1,.474,.812,-22.13177,.0333333,-.043064,.2,2,502.9411,.2,.1666667,525.0729
0,.458,.418,-150.6892,0,-.0821437,.878,3,1760.145,.2,.2,1910.835
1,.542,.418,150.6892,0,.0821437,.878,3,1910.835,.2,.2,1760.145
0,.386,.18,-336.3586,-.0333333,-.1936176,.878,4,1574.476,.1666667,.2,1910.835
1,.614,.812,336.3586,.0333333,.1936176,.878,4,1910.835,.2,.1666667,1574.476
0,.036,.996,-1221.704,.22,-1.683927,.19,5,278.504,.42,.2,1500.208
1,.964,.004,1221.704,-.22,1.683927,.19,5,1500.208,.2,.42,278.504
0,.176,.962,-2287.446,.0833333,-.7013642,.752,6,2250.313,.25,.1666667,4537.759
1,.824,.034,2287.446,-.0833333,.7013642,.752,6,4537.759,.1666667,.25,2250.313
0,.302,.418,-229.669,0,-.3644444,.106,7,522.3147,.1666667,.1666667,751.9837
1,.698,.418,229.669,0,.3644444,.106,7,751.9837,.1666667,.1666667,522.3147
0,.04,.936,-856.7441,.0635,-1.580072,.162,8,222.2247,.251,.1875,1078.969
1,.958,.064,856.7441,-.0635,1.580072,.162,8,1078.969,.1875,.251,222.2247
0,.312,.418,-1121.842,0,-.3296975,.696,9,2872.487,.2,.2,3994.329
1,.686,.418,1121.842,0,.3296975,.696,9,3994.329,.2,.2,2872.487
0,.038,.418,-435.8748,0,-1.622683,.024,10,107.1823,.1666667,.1666667,543.0572
1,.96,.418,435.8748,0,1.622683,.024,10,543.0572,.1666667,.1666667,107.1823
0,.654,.364,221.2632,-.0083333,.2676814,.996,11,942.153,.1666667,.175,720.8898
1,.346,.634,-221.2632,.0083333,-.2676814,.996,11,720.8898,.175,.1666667,942.153
0,.014,.418,-557.1537,0,-2.174752,.03,12,71.42996,.1666667,.1666667,628.5836
1,.986,.418,557.1537,0,2.174752,.03,12,628.5837,.1666667,.1666667,71.42999
0,.108,.418,-475.9833,0,-1.04116,.272,13,259.7453,.1666667,.1666667,735.7286
1,.892,.418,475.9833,0,1.04116,.272,13,735.7286,.1666667,.1666667,259.7453
0,.184,.136,-206.3565,-.0433333,-.6768866,.178,14,213.2351,.1666667,.21,419.5916
1,.816,.862,206.3565,.0433333,.6768866,.178,14,419.5916,.21,.1666667,213.2351
0,.288,.418,-337.8745,0,-.3963145,.346,15,694.7336,.2,.2,1032.608
1,.71,.418,337.8745,0,.3963145,.346,15,1032.608,.2,.2,694.7336
0,.184,.136,-206.3566,-.0433333,-.6768867,.05,16,213.2351,.1666667,.21,419.5916
1,.816,.862,206.3566,.0433333,.6768867,.05,16,419.5916,.21,.1666667,213.2351
0,.108,.962,-629.6028,.0833333,-1.033792,.518,17,347.5193,.25,.1666667,977.1221
1,.89,.034,629.6028,-.0833333,1.033792,.518,17,977.1221,.1666667,.25,347.5193
0,.196,.418,-486.531,0,-.6280176,.32,18,556.7404,.1666667,.1666667,1043.271
1,.804,.418,486.531,0,.6280176,.32,18,1043.271,.1666667,.1666667,556.7404
0,.408,.418,-164.4525,0,-.1743534,.586,19,863.3759,.2,.2,1027.828
1,.592,.418,164.4525,0,.1743534,.586,19,1027.828,.2,.2,863.3759
0,.202,.418,-366.2709,0,-.6134821,.648,20,432.5092,.1666667,.1666667,798.7802
1,.798,.418,366.2709,0,.6134821,.648,20,798.7802,.1666667,.1666667,432.5092
0,.788,.034,53.37591,-.0833333,.5877866,.316,21,120.0958,.1666667,.25,66.71989
1,.21,.962,-53.37591,.0833333,-.5877866,.316,21,66.71989,.25,.1666667,120.0958
0,.24,.836,-453.6953,.04,-.5187938,.336,22,667.1989,.38,.34,1120.894
1,.76,.158,453.6953,-.04,.5187938,.336,22,1120.894,.34,.38,667.1989
0,.092,.258,-753.9348,-.02,-1.116631,.336,23,366.9594,.32,.34,1120.894
1,.906,.734,753.9348,.02,1.116631,.336,23,1120.894,.34,.32,366.9594
0,.24,.836,-453.6953,.04,-.5187938,.304,24,667.1989,.38,.34,1120.894
1,.76,.158,453.6953,-.04,.5187938,.304,24,1120.894,.34,.38,667.1989
0,.092,.258,-753.9348,-.02,-1.116631,.304,25,366.9594,.32,.34,1120.894
1,.906,.734,753.9348,.02,1.116631,.304,25,1120.894,.34,.32,366.9594
0,.118,.18,-448.1152,-.0333333,-.9392788,.212,26,287.597,.1666667,.2,735.7122
1,.882,.812,448.1152,.0333333,.9392788,.212,26,735.7122,.2,.1666667,287.597
0,.95,.122,261.0295,-.0483333,1.52488,.006,27,333.6468,.1666667,.215,72.61725
1,.048,.876,-261.0295,.0483333,-1.52488,.006,27,72.61725,.215,.1666667,333.6468
0,.492,.034,-22.63562,-.0833333,-.0110097,.132,28,2044.666,.1666667,.25,2067.302
1,.508,.962,22.63562,.0833333,.0110097,.132,28,2067.302,.25,.1666667,2044.666
0,.15,.88,-464.0616,.05,-.8138759,.062,29,369.2884,.25,.2,833.35
1,.85,.094,464.0616,-.05,.8138759,.062,29,833.35,.2,.25,369.2884
0,.27,.214,-304.2131,-.0275,-.4373075,.396,30,554.5948,.1875,.215,858.808
1,.73,.786,304.2131,.0275,.4373075,.396,30,858.808,.215,.1875,554.5948
0,.444,.014,-69.67841,-.1333333,-.1021909,.29,31,647.5995,.1666667,.3,717.278
1,.556,.984,69.67841,.1333333,.1021909,.29,31,717.278,.3,.1666667,647.5995
0,.004,.986,-4524.583,.135,-3.375538,.602,32,160.2189,.4,.265,4684.802
1,.996,.012,4524.583,-.135,3.375538,.602,32,4684.802,.265,.4,160.2188
0,.658,.034,154.8139,-.0833333,.2760018,.204,33,641.8795,.1666667,.25,487.0656
1,.342,.962,-154.8139,.0833333,-.2760018,.204,33,487.0656,.25,.1666667,641.8795
0,.58,.094,106.9622,-.05,.1475165,.998,34,779.8817,.2,.25,672.9196
1,.418,.88,-106.9622,.05,-.1475165,.998,34,672.9196,.25,.2,779.8817
0,.734,.088,92.14224,-.0533333,.4536444,.994,35,252.6581,.1666667,.22,160.5159
1,.266,.912,-92.14224,.0533333,-.4536444,.994,35,160.5159,.22,.1666667,252.6581
0,.084,.22,-432.6381,-.025,-1.182538,.704,36,191.2092,.25,.275,623.8472
1,.914,.754,432.6381,.025,1.182538,.704,36,623.8472,.275,.25,191.2092
0,.33,.094,-323.0931,-.05,-.2976324,.26,37,931.9992,.2,.25,1255.092
1,.67,.88,323.0931,.05,.2976324,.26,37,1255.092,.25,.2,931.9992
0,.262,.88,-476.9351,.05,-.4747217,.026,38,784.9919,.25,.2,1261.927
1,.738,.094,476.9351,-.05,.4747217,.026,38,1261.927,.2,.25,784.9919
0,.29,.418,-156.6874,0,-.395387,.352,39,323.0943,.1875,.1875,479.7817
1,.71,.418,156.6874,0,.395387,.352,39,479.7817,.1875,.1875,323.0943
0,.1,.18,-313.1075,-.0333333,-1.080561,.592,40,160.8705,.1666667,.2,473.9779
1,.9,.812,313.1075,.0333333,1.080561,.592,40,473.9779,.2,.1666667,160.8705
0,.424,.024,-121.0562,-.105,-.1381965,.624,41,816.8372,.2,.305,937.8934
1,.574,.976,121.0562,.105,.1381965,.624,41,937.8934,.305,.2,816.8372
0,.918,.024,2167.714,-.105,1.197328,.624,42,3105.607,.2,.305,937.8933
1,.08,.976,-2167.714,.105,-1.197328,.624,42,937.8934,.305,.2,3105.607
0,.392,.38,-161.4916,-.005,-.1889661,.624,43,776.4018,.3,.305,937.8934
1,.606,.604,161.4916,.005,.1889661,.624,43,937.8934,.305,.3,776.4018
0,.298,.056,-608.6182,-.07,-.3744068,.52,44,1340.189,.23,.3,1948.807
1,.702,.942,608.6182,.07,.3744068,.52,44,1948.807,.3,.23,1340.189
0,.296,.056,-608.6182,-.07,-.3744068,.702,45,1340.189,.23,.3,1948.807
1,.702,.942,608.6182,.07,.3744068,.702,45,1948.807,.3,.23,1340.189
0,.566,.032,43.24823,-.0880333,.1188069,.104,46,386.0733,.1666667,.2547,342.825
1,.434,.968,-43.24823,.0880333,-.1188069,.104,46,342.825,.2547,.1666667,386.0733
0,.062,.946,-2787.03,.075,-1.390037,.13,47,924.3879,.275,.2,3711.417
1,.938,.052,2787.03,-.075,1.390037,.13,47,3711.417,.2,.275,924.3879
0,.196,.266,-340.7763,-.02,-.6245543,.942,48,392.8649,.18,.2,733.6412
1,.802,.712,340.7763,.02,.6245543,.942,48,733.6412,.2,.18,392.8649
0,.744,.03,261.1396,-.09,.4981745,.58,49,665.5593,.2,.29,404.4197
1,.254,.97,-261.1396,.09,-.4981745,.58,49,404.4197,.29,.2,665.5593
0,.04,.976,-12276.85,.11,-1.60744,.364,50,3076.89,.51,.4,15353.74
1,.96,.022,12276.85,-.11,1.60744,.364,50,15353.74,.4,.51,3076.891
0,.19,.006,-7369.798,-.19,-.6539266,.364,51,7983.946,.21,.4,15353.74
1,.808,.994,7369.798,.19,.6539266,.364,51,15353.74,.4,.21,7983.946
0,.004,.998,-14739.59,.27,-3.218876,.364,52,614.1497,.67,.4,15353.74
1,.996,.002,14739.59,-.27,3.218876,.364,52,15353.74,.4,.67,614.1494
0,.21,.418,-119.4925,0,-.5879225,.122,53,149.3201,.2,.2,268.8126
1,.79,.418,119.4925,0,.5879225,.122,53,268.8126,.2,.2,149.3201
0,.144,.418,-192.8221,0,-.8291344,.102,54,149.32,.2,.2,342.1422
1,.856,.418,192.8221,0,.8291344,.102,54,342.1422,.2,.2,149.32
0,.766,.094,281.0442,-.05,.5351429,.476,55,678.1719,.2,.25,397.1277
1,.234,.88,-281.0442,.05,-.5351429,.476,55,397.1277,.25,.2,678.1719
0,.26,.078,-151.1832,-.06,-.4808145,.454,56,244.8741,.2,.26,396.0573
1,.738,.92,151.1832,.06,.4808145,.454,56,396.0573,.26,.2,244.8741
0,.072,.084,-784.6924,-.055,-1.260739,.142,57,310.397,.2,.255,1095.089
1,.928,.914,784.6924,.055,1.260739,.142,57,1095.089,.255,.2,310.397
0,.366,.31,-65.81526,-.0125,-.231988,.032,58,252.0647,.1875,.2,317.88
1,.632,.672,65.81526,.0125,.231988,.032,58,317.88,.2,.1875,252.0647
0,.496,.31,0,-.0125,0,.132,59,661.9073,.1875,.2,661.9073
1,.496,.672,0,.0125,0,.132,59,661.9073,.2,.1875,661.9073
0,.48,.31,-19.22406,-.0125,-.0294735,.132,60,642.6833,.1875,.2,661.9073
1,.52,.672,19.22406,.0125,.0294735,.132,60,661.9073,.2,.1875,642.6833
0,.496,.31,0,-.0125,0,.076,61,661.9067,.1875,.2,661.9067
1,.496,.672,0,.0125,0,.076,61,661.9067,.2,.1875,661.9067
0,.15,.88,-227.0544,.05,-.8135941,.028,62,180.7755,.25,.2,407.8299
1,.85,.094,227.0544,-.05,.8135941,.028,62,407.8299,.2,.25,180.7755
0,.124,.034,-90.49042,-.0833333,-.9162907,.014,63,60.32695,.1666667,.25,150.8174
1,.874,.962,90.49042,.0833333,.9162907,.014,63,150.8174,.25,.1666667,60.32695
0,.372,.094,-60.3427,-.05,-.2184956,.088,64,247.1,.2,.25,307.4427
1,.626,.88,60.3427,.05,.2184956,.088,64,307.4427,.25,.2,247.1
0,.596,.094,59.686,-.05,.1774236,.166,65,367.129,.2,.25,307.443
1,.404,.88,-59.686,.05,-.1774236,.166,65,307.443,.25,.2,367.129
0,.946,.074,559.1384,-.06,1.476937,.152,66,724.588,.21,.27,165.4496
