roy_dm,lncpad_dm,accbid
.0127407,-.1421194,1
-.0205926,-.0364447,0
.0089374,.0553617,1
-.0243959,.0984254,0
-.0016835,1.158188,1
.2183165,-.5257387,0
-.0002088,1.6931,1
.0831245,.9917359,0
-.0267884,.605619,1
-.0267884,.2411747,0
-.0349046,.8841605,1
.0285954,-.6959119,0
-.002683,1.613767,1
-.002683,1.284069,0
-.0311523,.661592,1
-.0311523,-.961091,0
-.0896132,-2.864827,1
-.0979465,-2.597146,0
-.023033,.785625,1
-.023033,-1.389127,0
-.0372627,.3301749,1
-.0372627,-.7109852,0
-.0007493,-.0847774,1
-.0440826,-.7616639,0
-.0120853,.5922632,1
-.0120853,.1959486,0
.01113,.2291479,1
-.0322033,-.4477386,0
-.0418021,.341538,1
.0415312,-.6922536,0
-.0611426,.6259632,1
-.0611426,-.0020542,0
-.0219406,.3351641,1
-.0219406,.1608105,0
-.0544944,.0516868,1
-.0544944,-.5617957,0
.0411341,-2.118643,1
-.0421992,-1.530857,0
-.0034422,.4080925,1
-.0367755,-.5311866,0
.0226184,-.7842326,1
-.0257149,.7406478,0
.0045973,1.580518,1
-.078736,1.569509,0
-.0201857,.8619251,1
.0298143,.048049,0
-.0061272,.328681,1
-.0336272,-.1086264,0
.0679324,.2820277,1
-.065401,.1798368,0
.0392207,1.846444,1
.1742207,-1.529094,0
.1123418,.0159702,1
.0290085,.2919722,0
.0451922,-2.955184,1
-.0048078,-2.807667,0
-.0939308,-2.94351,1
-.1472641,-2.489866,0
.0360023,-.2477555,1
.0110023,-1.430293,0
.0210007,.8904815,1
-.0289993,.5928488,0
-.0175239,1.495237,1
.0324761,1.020515,0
-.0386361,-.1878738,1
-.0386361,-.583261,0
-.0432054,-.4405789,1
-.0765387,-1.521141,0
.0699601,1.0311,1
-.0000399,.6566935,0
.0676033,.8915339,1
-.0023967,.5171275,0
.0336594,-.1786141,1
-.0543739,-.0598073,0
-.0328437,2.167035,1
.0421563,.7769966,0
-.015548,-.4138122,1
-.035548,-1.038366,0
.0630452,-.5927796,1
-.0269547,-.0946054,0
-.0252472,-.4500089,1
-.0252472,-1.037931,0
-.0250156,-.1788936,1
-.0250156,-1.008028,0
.0005809,-.5201731,1
-.0494191,.0149703,0
.0135651,-.4998488,1
-.0464349,-.9806633,0
.0098263,.9256845,1
-.0451736,-.3350549,0
-.016647,.0879092,1
-.029147,-.1440787,0
-.0291992,.5465202,1
-.0416992,.5465202,0
-.027251,.3646374,1
.022749,-.4489565,0
.0072333,-.429584,1
-.0761,-1.345874,0
.0132856,-.2741108,1
-.0367144,-.4926062,0
.0092918,-.3755412,1
-.0407082,-.1981173,0
.0315131,-.9766412,1
-.0284869,.5002956,0
-.0387028,.378696,1
-.0807361,-1.688397,0
.0014676,1.430153,1
-.0318657,.7602019,0
.0702639,.7590485,1
-.0097361,.5677314,0
-.0194626,.3202734,1
-.0394626,-2.680091,0
-.0100616,1.098642,1
-.0300616,-2.329062,0
.1127297,1.605861,1
.0627297,1.101207,0
.0517166,1.235933,1
.0217165,.7671556,0
-.0076654,.6813622,1
-.0076654,.0894856,0
-.1314857,-.7777162,1
-.1314857,-1.318295,0
.1177403,.0711637,1
.001407,.271699,0
-.0215703,.4984765,1
.0384297,-.5768294,0
-.005836,.7348604,1
-.005836,-.3204012,0
-.0459923,.2160506,1
-.0493256,-.0183964,0
-.0472399,.1536303,1
-.0505732,-.0054355,0
-.0381768,-.5969176,1
.0951565,-1.417222,0
-.0031137,.1839676,1
-.0281137,.001646,0
-.0581966,-.5415845,1
-.0581633,-.5903749,0
.0432286,1.12112,1
.0182286,.8558087,0
.0322588,.2342796,1
.0122588,-.0558743,0
-.008914,.3243489,1
-.002914,.1651092,0
.0173956,-.5878,1
.0023956,-.4010186,0
.038693,.6190772,1
-.007307,.0780869,0
-.0416999,-1.012784,1
-.0209,-1.213113,0
-.0417606,.1357899,1
-.0317606,-.6716418,0
-.0227604,-1.048963,1
-.0560604,-.3558512,0
.0484319,2.167626,1
.1834319,.7564921,0
-.0389272,.2529011,1
-.0388939,.1301064,0
-.041178,.5337634,1
-.0411447,.411705,0
-.0341048,-.3612313,1
-.0341048,-.4553499,0
.0085016,-1.399638,1
-.0339984,-.8131752,0
.0429693,1.553784,1
.0479693,.1741867,0
-.0357115,-.8906813,1
-.0357115,-1.4705,0
.0230244,-.5040178,1
-.0169756,-.9159036,0
.04244,.1762204,1
.01744,-.0667257,0
.0418573,.2159243,1
-.0406427,-.4125352,0
.0309124,.6262202,1
-.0190876,.0406046,0
.0339081,.5695486,1
.0089081,.5357056,0
.0682219,1.43878,1
.0507219,.9321008,0
.0395729,.7869387,1
-.0504271,-.7477756,0
.0329501,-.5808039,1
-.0345499,-.389535,0
.0555368,.8300939,1
.0355368,.8395905,0
.0307221,.3961196,1
-.0182779,-.1070514,0
-.0413669,-.7434316,1
-.0413669,-.9918933,0
.0248206,-.5519557,1
-.0584794,-.5519557,0
