accbid,roy_dm,lncpad_dm,royalty,totalcashpa_d,e_roy,e_lncpad,wtim_d,r_cc,primaryterm,auctionyear,iv,develop,stateagency,rowid,advertisedacreage,index,nb,auctionmonth,numbids,nobid,rentals,income,well,wtim,lnacr,lnacr2,year,qtr,yearmonth,rentals_d,lnbonuspa_d,lntotalcashpad,twp_idx_pre,tractid,surffit_lnb2,surffit_r2,twp_prod_post,e_cpad,outlier,totrim
1,.0397675,1.012721,.25,1147.962,.2102325,6.033023,31.26079,.0300536,3,1987,.2034857,0,0,1,145,.118,2,4,2,1,25375,0,0,18.643,4.976734,24.76788,1987,2,198704,42549.09,6.37653,7.045743,10.70539,412,.030089,-.0059179,0,416.9736,0,0
0,.0097675,.5708876,.22,737.9755,.2102325,6.033023,31.26079,.0300536,3,1987,.2034857,0,0,2,145,.118,2,4,2,2,16312.5,0,0,18.643,4.976734,24.76788,1987,2,198704,27352.98,5.935641,6.60391,10.70539,412,.030089,-.0059179,0,416.9736,0,0
1,-.0122377,.8059883,.2,998.2277,.2122377,6.099993,31.26079,.0300536,3,1987,.2034857,0,0,3,115,.164,2,4,2,1,17500,0,0,18.643,4.744932,22.51438,1987,2,198704,29344.2,6.237023,6.905982,11.52038,413,.12833,-.0056363,12.00935,445.8547,0,0
0,.0377623,.7082176,.25,905.2499,.2122377,6.099993,31.26079,.0300536,3,1987,.2034857,0,0,4,115,.164,2,4,2,2,15870,0,0,18.643,4.744932,22.51438,1987,2,198704,26611,6.139453,6.808211,11.52038,413,.12833,-.0056363,12.00935,445.8547,0,0
1,.013596,.3831434,.22,728.8574,.206404,6.208334,31.26079,.0300536,3,1987,.2034857,1,0,5,250,.224,2,4,2,1,27777.5,0,1,18.643,5.521461,30.48653,1987,2,198704,46577.63,5.923242,6.591478,0,414,.45267,.0060186,11.78925,496.873,0,0
0,.008596,-.0098891,.215,491.9836,.206404,6.208334,31.26079,.0300536,3,1987,.2034857,1,0,6,250,.224,2,4,2,2,18750,0,1,18.643,5.521461,30.48653,1987,2,198704,31440.21,5.531497,6.198445,0,414,.45267,.0060186,11.78925,496.873,0,0
1,-.0114839,.0158114,.2,333.4102,.2114839,5.793562,32.55529,.0347374,3,1987,.1975954,0,0,7,78,.044,2,5,2,1,3978,0,0,19.415,4.356709,18.98091,1987,2,198705,6670.355,5.147696,5.809374,10.16503,415,-.8803,-.027075,0,328.1801,0,0
0,.0385161,-.2916732,.25,245.1546,.2114839,5.793562,32.55529,.0347374,3,1987,.1975954,0,0,8,78,.044,2,5,2,2,2925,0,0,19.415,4.356709,18.98091,1987,2,198705,4904.673,4.842302,5.501889,10.16503,415,-.8803,-.027075,0,328.1801,0,0
1,-.0086469,.3844347,.2,533.6069,.2086469,5.895225,33.75063,.0305415,3,1987,.2642499,1,0,9,610,.066,2,8,2,1,49998.6,1,1,20.274,6.413459,41.13245,1987,3,198708,83233.98,5.612757,6.279659,10.4601,416,-.43382,-.01188,13.02504,363.2984,0,0
0,-.0419802,-.8028831,.166667,162.7705,.2086469,5.895225,33.75063,.0305415,3,1987,.2642499,1,0,10,610,.066,2,8,2,2,15251.5,1,1,20.274,6.413459,41.13245,1987,3,198708,25389.54,4.433722,5.092341,10.4601,416,-.43382,-.01188,13.02504,363.2984,0,0
