tractid,twp,rge,lnbonuspad_res,roy_res,numbids,auctionyear
1,16,-10,-.2875141,-.0048525,2,1974
1,16,-10,-.1822723,-.0381858,2,1974
2,16,-10,-.2251652,-.0048525,2,1974
2,16,-10,-.1822723,-.0381858,2,1974
3,-21,16,.9132739,-.0381858,3,1974
3,-21,16,1.024611,-.0048525,3,1974
3,-21,16,1.106663,-.0048525,3,1974
4,-21,21,-.812941,.2151475,2,1974
4,-21,21,.8650199,-.0048525,2,1974
5,-20,24,1.27003,.0451475,2,1974
5,-20,24,1.970935,-.0381858,2,1974
6,-6,7,-.1850928,-.0381858,2,1974
6,-6,7,.1781613,-.0381858,2,1974
7,7,10,-1.02186,.0461475,2,1974
7,7,10,.5510393,-.0173525,2,1974
8,-21,16,1.529045,-.0048525,2,1974
8,-21,16,1.858545,-.0048525,2,1974
9,20,-16,-1.741403,-.0381858,2,1974
9,20,-16,-.1336664,-.0381858,2,1974
10,-17,23,.1498038,-.0298525,2,1974
10,-17,23,.4168302,-.0381858,2,1974
11,19,-15,-2.137668,-.0381858,2,1974
11,19,-15,.0124322,-.0381858,2,1974
12,-10,-2,-.8668021,-.0381858,2,1974
12,-10,-2,.1693579,-.0381858,2,1974
13,22,-3,-1.05337,-.0381858,2,1974
13,22,-3,-.3810628,.0051475,2,1974
14,-10,-2,.1213037,-.0048525,2,1974
14,-10,-2,.5166789,-.0048525,2,1974
15,22,-3,-1.05337,-.0381858,2,1974
15,22,-3,-.3810628,.0051475,2,1974
16,16,3,-.5647243,.0451475,2,1974
16,16,3,.4653894,-.0381858,2,1974
16,16,4,-.5647243,.0451475,2,1974
16,16,4,.4653894,-.0381858,2,1974
17,-12,12,-.0955885,-.0381858,2,1974
17,-12,12,.5307652,-.0381858,2,1974
18,-20,23,.3418957,-.0048525,2,1974
18,-20,23,.5158807,-.0048525,2,1974
19,-12,4,-.3467344,-.0381858,2,1974
19,-12,4,-.1380881,-.0381858,2,1974
20,9,11,-2.193645,.0451475,2,1974
20,9,11,-1.618855,-.0381858,2,1974
21,-14,15,-.5129555,.1151475,3,1974
21,-14,15,.0824434,.1751475,3,1974
21,-14,15,.6000291,.1351475,3,1974
22,-14,15,-.5129555,.1151475,3,1974
22,-14,15,.0824434,.1751475,3,1974
22,-14,15,.6000291,.1351475,3,1974
22,-14,16,-.5129555,.1151475,3,1974
22,-14,16,.0824434,.1751475,3,1974
22,-14,16,.6000291,.1351475,3,1974
23,18,3,-.7575797,-.0381858,2,1974
23,18,3,.1774823,-.0048525,2,1974
24,20,10,-2.108406,-.0111333,2,1975
24,20,10,-.6047388,-.0594666,2,1975
24,20,11,-2.108406,-.0111333,2,1975
24,20,11,-.6047388,-.0594666,2,1975
25,-21,21,1.203164,-.0594666,2,1975
25,-21,21,1.214163,.0238667,2,1975
26,20,-2,-.5029045,.0238667,2,1975
26,20,-2,.3079671,-.0261333,2,1975
27,-13,10,-.0980464,-.0386333,2,1975
27,-13,10,.3379497,-.0111333,2,1975
28,-10,-3,.0619721,-.0594666,2,1975
28,-10,-3,.1638655,.0738667,2,1975
28,-10,-2,.0619721,-.0594666,2,1975
28,-10,-2,.1638655,.0738667,2,1975
28,-9,-3,.0619721,-.0594666,2,1975
28,-9,-3,.1638655,.0738667,2,1975
28,-9,-2,.0619721,-.0594666,2,1975
28,-9,-2,.1638655,.0738667,2,1975
29,15,-12,-1.32618,.1738667,2,1975
29,15,-12,2.037436,.0388666,2,1975
30,-17,10,-.222591,.0238667,2,1975
30,-17,10,.0524286,-.0594666,2,1975
31,-20,17,.0995115,.0238667,2,1975
31,-20,17,.2466234,-.0261333,2,1975
31,-20,30,.0995115,.0238667,2,1975
31,-20,30,.2466234,-.0261333,2,1975
31,-19,17,.0995115,.0238667,2,1975
31,-19,17,.2466234,-.0261333,2,1975
31,-19,30,.0995115,.0238667,2,1975
31,-19,30,.2466234,-.0261333,2,1975
32,21,-14,-1.315182,-.0061333,2,1975
32,21,-14,-.8659735,-.0594666,2,1975
32,22,-14,-1.315182,-.0061333,2,1975
32,22,-14,-.8659735,-.0594666,2,1975
33,16,-12,-1.142157,.0238667,2,1975
33,16,-12,.0332755,.0488667,2,1975
34,-12,8,.4376897,-.0261333,2,1975
34,-12,8,.7347807,.0238667,2,1975
35,15,-13,.266425,.0238667,2,1975
35,15,-13,.7402028,-.0261333,2,1975
36,-12,9,-.6177426,-.0386333,2,1975
36,-12,9,-.2243305,-.0386333,2,1975
37,14,-13,-1.308676,-.0594666,2,1975
37,14,-13,-.2361127,-.0261333,2,1975
38,-13,12,.2557887,.0738667,4,1975
38,-13,12,.3064331,-.0261333,4,1975
38,-13,12,.4443206,.0788667,4,1975
38,-13,12,1.64019,-.0261333,4,1975
39,-20,16,.7943839,.0038667,2,1975
39,-20,16,1.168331,.0738667,2,1975
40,-20,16,.7943839,.0038667,2,1975
40,-20,16,1.168331,.0738667,2,1975
41,-9,2,-.5678607,.0285667,2,1975
41,-9,2,-.4496981,-.0594666,2,1975
42,15,-12,.4211911,.0488667,2,1975
42,15,-12,1.809622,-.0261333,2,1975
42,15,-11,.4211911,.0488667,2,1975
42,15,-11,1.809622,-.0261333,2,1975
42,16,-12,.4211911,.0488667,2,1975
42,16,-12,1.809622,-.0261333,2,1975
42,16,-11,.4211911,.0488667,2,1975
42,16,-11,1.809622,-.0261333,2,1975
43,-15,-9,-.4315864,-.0461333,2,1975
43,-15,-9,.1906351,-.0261333,2,1975
44,-18,23,-.402742,.0638667,2,1975
44,-18,23,.0935182,-.0261333,2,1975
45,-10,9,.2862701,.4394447,4,1976
45,-10,9,1.895112,.2794447,4,1976
45,-10,9,2.848228,-.0205553,4,1976
45,-10,9,3.502034,.1694447,4,1976
46,-14,-15,-1.122699,-.0305553,2,1976
46,-14,-15,-.5406814,-.0305553,2,1976
47,-14,-15,-1.122699,-.0305553,2,1976
47,-14,-15,-.3010569,-.0305553,2,1976
48,-13,11,-.1528321,.0194447,2,1976
48,-13,11,.380228,-.0305553,2,1976
48,-12,11,-.1528321,.0194447,2,1976
48,-12,11,.380228,-.0305553,2,1976
49,6,4,-.6290265,-.0305553,2,1976
49,6,4,-.1513024,.0294447,2,1976
50,-18,15,-.3936267,-.0305553,2,1976
50,-18,15,.8625244,.0244447,2,1976
50,-18,16,-.3936267,-.0305553,2,1976
50,-18,16,.8625244,.0244447,2,1976
51,-6,3,-.6003156,-.0430553,2,1976
51,-6,3,-.3699551,-.0305553,2,1976
52,-5,-1,.3318886,-.0430553,3,1976
52,-5,-1,.3584304,-.0430553,3,1976
52,-5,-1,.3584304,-.0305553,3,1976
53,-5,-1,.3584304,-.0430553,2,1976
53,-5,-1,.3584304,-.0305553,2,1976
54,-15,-16,-.9328542,.0194447,2,1976
54,-15,-16,-.1253777,-.0305553,2,1976
55,10,12,-2.009795,-.0638886,2,1976
55,10,12,-1.112987,.0194447,2,1976
56,15,4,-.6312218,-.0305553,2,1976
56,15,4,-.4143181,.0194447,2,1976
57,15,4,-.4143181,.0194447,2,1976
57,15,4,-.2379551,-.0305553,2,1976
58,15,4,-1.028358,.0394447,2,1976
58,15,4,.4392347,-.0205553,2,1976
58,16,4,-1.028358,.0394447,2,1976
58,16,4,.4392347,-.0205553,2,1976
59,-8,9,-1.53899,-.0638886,2,1976
59,-8,9,.510406,-.0218553,2,1976
60,-9,1,-.7976742,-.0638886,2,1976
60,-9,1,.2753691,-.0305553,2,1976
60,-9,13,-.7976742,-.0638886,2,1976
60,-9,13,.2753691,-.0305553,2,1976
61,-20,17,.7513852,-.0105553,2,1976
61,-20,17,.9423484,.0694447,2,1976
62,-20,12,-1.97945,-.0430553,2,1976
62,-20,12,.9908218,-.0230553,2,1976
63,-18,13,-1.97945,-.0430553,2,1976
63,-18,13,1.417606,-.0230553,2,1976
64,-6,-2,.8029001,.0311911,2,1977
64,-6,-2,1.306911,.0811911,2,1977
64,-6,-1,.8029001,.0311911,2,1977
64,-6,-1,1.306911,.0811911,2,1977
64,-6,12,.8029001,.0311911,2,1977
64,-6,12,1.306911,.0811911,2,1977
65,-11,15,.0624488,-.008809,2,1977
65,-11,15,.5299514,.021191,2,1977
66,-18,11,.2287357,-.0188089,2,1977
66,-18,11,.8193238,-.0188089,2,1977
67,-1,-12,-.6591198,-.0521422,2,1977
67,-1,-12,-.1214706,-.0521422,2,1977
68,-5,-2,.3730863,.1145244,2,1977
68,-5,-2,.5731681,-.001809,2,1977
69,21,-16,-.8560345,.041191,2,1977
69,21,-16,-.0101568,-.0188089,2,1977
70,-13,12,-.5644466,-.0188089,2,1977
70,-13,12,.4866527,-.0188089,2,1977
71,-13,-4,.1163147,-.0521422,2,1977
71,-13,-4,.3500512,-.0488089,2,1977
72,-13,-4,.1163147,-.0521422,2,1977
72,-13,-4,.274906,-.0488089,2,1977
73,-15,-9,-1.345287,.0811911,2,1977
73,-15,-9,-.5327961,-.0521422,2,1977
74,-13,-3,-.4448397,-.0188089,3,1977
74,-13,-3,-.0415756,-.0521089,3,1977
74,-13,-3,.0637849,-.0521422,3,1977
75,-12,8,.2315348,-.0188089,2,1977
75,-12,8,.4133771,.006191,2,1977
76,-12,12,-.2511832,.0561911,3,1977
76,-12,12,.1570342,-.0188089,3,1977
76,-12,12,.251829,.006191,3,1977
77,-12,12,.0190242,.0311911,3,1977
77,-12,12,.1570342,-.0188089,3,1977
77,-12,12,.2782868,.0511911,3,1977
78,21,-16,-.6804535,.0511911,3,1977
78,21,-16,-.5678918,.2411911,3,1977
78,21,-16,1.42224,.0331911,3,1977
79,22,-3,-.6804535,-.0521089,2,1977
79,22,-3,-.632004,-.0521422,2,1977
80,-15,-5,.8462189,.0111911,2,1977
80,-15,-5,1.111168,.036191,2,1977
81,-16,10,.0190242,.0111911,2,1977
81,-16,10,.3082827,.0311911,2,1977
82,-20,11,.2807959,-.0128089,2,1977
82,-20,11,.4396322,-.0188089,2,1977
82,-20,12,.2807959,-.0128089,2,1977
82,-20,12,.4396322,-.0188089,2,1977
82,-19,11,.2807959,-.0128089,2,1977
82,-19,11,.4396322,-.0188089,2,1977
82,-19,12,.2807959,-.0128089,2,1977
82,-19,12,.4396322,-.0188089,2,1977
83,-18,23,-.398998,.0161911,2,1977
83,-18,23,-.2131369,.0011911,2,1977
84,-16,15,.0958946,.0011911,2,1977
84,-16,15,.6355088,.0471911,2,1977
85,-13,10,-1.30529,-.0313089,2,1977
85,-13,10,-1.107391,-.0521089,2,1977
86,-9,7,-.2447407,-.0038089,3,1977
86,-9,7,.0363362,.0111911,3,1977
86,-9,7,.0600989,-.0188089,3,1977
87,-14,17,-.5678918,-.008809,2,1977
87,-14,17,.2359918,-.0188089,2,1977
88,16,-11,-.93734,-.0217105,2,1978
88,16,-11,-.2490336,-.0550105,2,1978
89,-4,-2,-.8133137,.0532895,5,1978
89,-4,-2,-.3448908,-.0217105,5,1978
89,-4,-2,-.2228424,-.0067105,5,1978
89,-4,-2,.4666417,.0332895,5,1978
89,-4,-2,1.870319,.0052895,5,1978
90,-4,10,1.180586,.1782895,2,1978
90,-4,10,2.59084,.0432895,2,1978
90,-4,11,1.180586,.1782895,2,1978
90,-4,11,2.59084,.0432895,2,1978
91,-9,-10,-1.35585,-.0550105,4,1978
91,-9,-10,-.9785301,-.0467105,4,1978
91,-9,-10,.0830577,-.0342105,4,1978
91,-9,-10,.4453099,-.0550105,4,1978
92,18,13,-.306307,-.0550105,2,1978
92,18,13,-.184107,-.0550438,2,1978
93,17,13,-.1841385,-.0550105,2,1978
93,17,13,-.0626027,-.0550438,2,1978
93,18,13,-.1841385,-.0550105,2,1978
93,18,13,-.0626027,-.0550438,2,1978
94,14,10,-.7150566,-.0342105,2,1978
94,14,10,-.6216313,-.0342105,2,1978
95,14,10,-1.527412,.0082895,2,1978
95,14,10,-.9487106,-.0342105,2,1978
96,-5,-2,.2583736,.0432895,2,1978
96,-5,-2,1.635782,.0382895,2,1978
97,-14,12,.0292876,.0282895,3,1978
97,-14,12,.5186866,.0282895,3,1978
97,-14,12,.7795332,-.0529105,3,1978
98,6,7,-1.543711,-.0342105,2,1978
98,6,7,-.9717156,-.0342105,2,1978
99,-3,6,-2.174365,-.0342105,4,1978
99,-3,6,-.1590073,.0082895,4,1978
99,-3,6,1.206171,-.0117105,4,1978
99,-3,6,2.444348,.0282895,4,1978
100,-6,3,-.3307068,.0282895,4,1978
100,-6,3,.0514567,.1782895,4,1978
100,-6,3,.4070533,.0282895,4,1978
100,-6,3,1.147671,.0032895,4,1978
101,-11,9,-.6523888,-.0117105,2,1978
101,-11,9,-.2429582,.0282895,2,1978
102,-13,-3,.0028461,.0032895,2,1978
102,-13,-3,.2449782,.0282895,2,1978
103,-17,15,-.3926632,-.0417105,2,1978
103,-17,15,.2331789,.0407895,2,1978
104,-18,15,.2296122,-.0167105,2,1978
104,-18,15,.8138946,.0332895,2,1978
105,-19,12,.5384138,-.0017105,2,1978
105,-19,12,.5721834,.0232895,2,1978
106,-16,18,.8211287,.0457895,2,1978
106,-16,18,1.327146,.0632895,2,1978
107,-17,19,-.686536,-.0517105,2,1978
107,-17,19,.842265,.0382895,2,1978
108,19,-14,-.6875297,.0332895,2,1978
108,19,-14,-.4975721,-.0342105,2,1978
109,-13,10,1.050692,.0432895,3,1978
