win,diffr,diffc
0,-.0333333,52.65585
1,.0333333,-52.65585
0,-.0333333,22.13177
1,.0333333,-22.13177
0,0,-150.6892
1,0,150.6892
0,-.0333333,-336.3586
1,.0333333,336.3586
0,.22,-1221.704
1,-.22,1221.704
0,.0833333,-2287.446
1,-.0833333,2287.446
0,0,-229.669
1,0,229.669
0,.0635,-856.7441
1,-.0635,856.7441
0,0,-1121.842
1,0,1121.842
0,0,-435.8748
1,0,435.8748
0,-.0083333,221.2632
1,.0083333,-221.2632
0,0,-557.1537
1,0,557.1537
0,0,-475.9833
1,0,475.9833
0,-.0433333,-206.3565
1,.0433333,206.3565
0,0,-337.8745
1,0,337.8745
0,-.0433333,-206.3566
1,.0433333,206.3566
0,.0833333,-629.6028
1,-.0833333,629.6028
0,0,-486.531
1,0,486.531
0,0,-164.4525
1,0,164.4525
0,0,-366.2709
1,0,366.2709
0,-.0833333,53.37591
1,.0833333,-53.37591
0,.04,-453.6953
1,-.04,453.6953
0,-.02,-753.9348
1,.02,753.9348
0,.04,-453.6953
1,-.04,453.6953
0,-.02,-753.9348
1,.02,753.9348
0,-.0333333,-448.1152
1,.0333333,448.1152
0,-.0483333,261.0295
1,.0483333,-261.0295
0,-.0833333,-22.63562
1,.0833333,22.63562
0,.05,-464.0616
1,-.05,464.0616
0,-.0275,-304.2131
1,.0275,304.2131
0,-.1333333,-69.67841
1,.1333333,69.67841
0,.135,-4524.583
1,-.135,4524.583
0,-.0833333,154.8139
1,.0833333,-154.8139
0,-.05,106.9622
1,.05,-106.9622
0,-.0533333,92.14224
1,.0533333,-92.14224
0,-.025,-432.6381
1,.025,432.6381
0,-.05,-323.0931
1,.05,323.0931
0,.05,-476.9351
1,-.05,476.9351
0,0,-156.6874
1,0,156.6874
0,-.0333333,-313.1075
1,.0333333,313.1075
0,-.105,-121.0562
1,.105,121.0562
0,-.105,2167.714
1,.105,-2167.714
0,-.005,-161.4916
1,.005,161.4916
0,-.07,-608.6182
1,.07,608.6182
0,-.07,-608.6182
1,.07,608.6182
0,-.0880333,43.24823
1,.0880333,-43.24823
0,.075,-2787.03
1,-.075,2787.03
0,-.02,-340.7763
1,.02,340.7763
0,-.09,261.1396
1,.09,-261.1396
0,.11,-12276.85
1,-.11,12276.85
0,-.19,-7369.798
1,.19,7369.798
0,.27,-14739.59
1,-.27,14739.59
0,0,-119.4925
1,0,119.4925
0,0,-192.8221
1,0,192.8221
0,-.05,281.0442
1,.05,-281.0442
0,-.06,-151.1832
1,.06,151.1832
0,-.055,-784.6924
1,.055,784.6924
0,-.0125,-65.81526
1,.0125,65.81526
0,-.0125,0
1,.0125,0
0,-.0125,-19.22406
1,.0125,19.22406
0,-.0125,0
1,.0125,0
0,.05,-227.0544
1,-.05,227.0544
0,-.0833333,-90.49042
1,.0833333,90.49042
0,-.05,-60.3427
1,.05,60.3427
0,-.05,59.686
1,.05,-59.686
0,-.06,559.1384
1,.06,-559.1384
0,-.0420333,-679.7042
1,.0420333,679.7042
0,-.0333333,-301.0385
1,.0333333,301.0385
0,-.08,-209.5059
1,.08,209.5059
0,-.02,-1200.162
1,.02,1200.162
0,-.02,-1873.573
1,.02,1873.573
0,-.05,-812.965
1,.05,812.965
0,-.03,-353.7935
1,.03,353.7935
0,0,-564.1786
1,0,564.1786
0,0,-204.7088
1,0,204.7088
0,-.1163333,178.7847
1,.1163333,-178.7847
0,.06,-452.0522
1,-.06,452.0522
0,0,-588.1451
1,0,588.1451
0,-.0033333,-164.4307
1,.0033333,164.4307
0,-.0033333,-107.3023
1,.0033333,107.3023
0,.1333333,-181.2617
1,-.1333333,181.2617
0,.0333333,-235.0938
1,-.0333333,235.0938
0,.0000333,-58.96814
1,-.0000333,58.96814
0,-.025,-139.0758
1,.025,139.0758
0,-.075,216.9583
1,.075,-216.9583
0,-.05,281.3231
1,.05,-281.3231
0,-.02,-166.8909
1,.02,166.8909
0,-.07,-83.4455
1,.07,83.4455
0,.208,-1980.44
1,-.208,1980.44
0,.018,-2013.818
1,-.018,2013.818
0,.0000333,-13.90662
1,-.0000333,13.90662
0,-.025,-391.1649
1,.025,391.1649
0,-.02,-189.1298
1,.02,189.1298
0,.006,-126.1051
1,-.006,126.1051
0,-.015,75.81885
1,.015,-75.81885
0,-.046,-435.561
1,.046,435.561
0,.0208,-32.81949
1,-.0208,32.81949
0,-.015,-140.8741
1,.015,140.8741
0,-.03,13.48932
1,.03,-13.48932
0,.01,-386.9374
1,-.01,386.9374
0,-.0333,205.519
1,.0333,-205.519
0,-.027,-3063.063
1,.027,3063.063
0,.028,-2593.526
1,-.028,2593.526
0,.048,-3203.4
1,-.048,3203.4
0,-.012,-3014.356
1,.012,3014.356
0,.135,-5346.554
1,-.135,5346.554
0,.0083,-628.3047
1,-.0083,628.3047
0,0,-690.9357
1,0,690.9357
0,.0208,-251.4942
1,-.0208,251.4942
0,.0000333,-50.63437
1,-.0000333,50.63437
0,.0000333,-56.88358
1,-.0000333,56.88358
0,0,-25.34839
1,0,25.34839
0,-.0425,90.03456
1,.0425,-90.03456
0,.005,-2031.296
1,-.005,2031.296
0,-.0812,264.9205
1,.0812,-264.9205
0,0,-344.0126
1,0,344.0126
0,0,-87.348
1,0,87.348
0,-.0625,-6045.541
1,.0625,6045.541
0,-.02,-5653.798
1,.02,5653.798
0,-.04,-4335.637
1,.04,4335.637
0,.025,-1288.886
1,-.025,1288.886
0,.175,-1111.702
1,-.175,1111.702
0,.025,-873.4799
1,-.025,873.4799
0,-.04,-139.6245
1,.04,139.6245
0,-.025,-145.6609
1,.025,145.6609
0,-.0825,-311.3965
1,.0825,311.3965
0,-.05,-528.2017
1,.05,528.2017
0,-.025,-31.12665
1,.025,31.12665
0,-.0175,-791.9597
1,.0175,791.9597
0,-.09,-961.8088
1,.09,961.8088
0,-.0675,55.40591
1,.0675,-55.40591
0,0,-244.0968
1,0,244.0968
0,-.01,-309.9604
1,.01,309.9604
0,-.02,15.01233
1,.02,-15.01233
0,-.049,-338.4169
1,.049,338.4169
0,0,-84.37595
1,0,84.37595
0,-.0833,-281.2532
1,.0833,281.2532
0,-.0625,-235.2299
1,.0625,235.2299
0,-.0833,0
1,.0833,0
0,-.0625,-654.5529
1,.0625,654.5529
0,-.023,-148.2971
1,.023,148.2971
0,.043,-815.3786
1,-.043,815.3786
0,-.0195,-327.2765
1,.0195,327.2765
0,0,-159.3102
1,0,159.3102
0,-.055,-2007.941
1,.055,2007.941
0,.055,-2321.148
1,-.055,2321.148
0,-.02,-4916.814
1,.02,4916.814
0,-.005,-105.7686
1,.005,105.7686
0,0,-622.8563
1,0,622.8563
0,.03,-1324.226
1,-.03,1324.226
0,.02,-1397.152
1,-.02,1397.152
0,.01,-1531.125
1,-.01,1531.125
0,-.0033,-32.45589
1,.0033,32.45589
0,-.015,-881.7479
1,.015,881.7479
0,-.0375,-144.037
1,.0375,144.037
0,-.0625,-50.36484
1,.0625,50.36484
0,-.0625,-85.25163
1,.0625,85.25163
0,-.015,-221.1135
1,.015,221.1135
0,-.035,-255.5089
1,.035,255.5089
0,-.05,-106.1344
1,.05,106.1344
0,-.0225,-119.0082
1,.0225,119.0082
0,0,-125.2976
1,0,125.2976
0,.04,-502.4064
1,-.04,502.4064
0,-.06,-525.7588
1,.06,525.7588
0,-.0833,115.4704
1,.0833,-115.4704
0,-.05,-520.6154
1,.05,520.6154
0,-.015,186.0434
1,.015,-186.0434
0,-.01,329.915
1,.01,-329.915
0,.012,-642.8091
1,-.012,642.8091
0,0,-940.1293
1,0,940.1293
0,-.0625,-1369.017
1,.0625,1369.017
0,-.0625,-1368.031
1,.0625,1368.031
0,0,-1904.365
1,0,1904.365
0,-.0625,-1900.508
1,.0625,1900.508
0,.01,-3656.992
1,-.01,3656.992
0,-.01,-754.925
1,.01,754.925
0,-.005,-275.6238
1,.005,275.6238
0,-.005,-19.71545
1,.005,19.71545
0,-.005,-147.3029
1,.005,147.3029
0,-.005,-147.3029
1,.005,147.3029
0,-.135,-6688.559
1,.135,6688.559
0,-.14,-7403.017
1,.14,7403.017
0,-.074,-5145.825
1,.074,5145.825
0,-.128,-6564.162
1,.128,6564.162
0,-.054,-1418.336
1,.054,1418.336
0,.11,-1658.776
1,-.11,1658.776
0,-.054,-1418.336
1,.054,1418.336
0,-.014,-277.4933
1,.014,277.4933
0,-.014,-277.4932
1,.014,277.4932
0,-.008,10.11426
1,.008,-10.11426
0,-.008,10.11426
1,.008,-10.11426
0,.158,-528.0474
1,-.158,528.0474
0,-.002,-481.4709
1,.002,481.4709
0,-.002,-393.5909
1,.002,393.5909
0,-.002,-53.61255
1,.002,53.61255
0,.02,-251.6566
1,-.02,251.6566
0,-.065,-13.80515
1,.065,13.80515
0,-.115,776.5402
1,.115,-776.5402
0,-.1233,-13.80515
1,.1233,13.80515
0,-.2083,239.6729
1,.2083,-239.6729
0,.2383,-1740.025
1,-.2383,1740.025
0,.035,-155.8346
1,-.035,155.8346
0,.015,-4793.469
1,-.015,4793.469
0,-.17,105.4561
1,.17,-105.4561
0,-.06,-1917.242
1,.06,1917.242
0,-.0833,-198.5883
1,.0833,198.5883
0,-.055,-93.55457
1,.055,93.55457
0,-.14,-804.5686
1,.14,804.5686
0,-.0983,-13.65137
1,.0983,13.65137
0,-.0775,-444.3839
1,.0775,444.3839
0,-.065,84.1991
1,.065,-84.1991
0,-.06,767.1936
1,.06,-767.1936
0,-.13,339.1818
1,.13,-339.1818
0,-.0125,-191.4724
1,.0125,191.4724
0,-.0333,-189.4478
1,.0333,189.4478
0,.1,-527.5677
1,-.1,527.5677
0,-.052,-337.5966
1,.052,337.5966
0,.01,-901.4185
1,-.01,901.4185
0,0,-417.4365
1,0,417.4365
0,.01,-255.6271
1,-.01,255.6271
0,-.05,-2349.141
1,.05,2349.141
0,-.0313,-1660.535
1,.0313,1660.535
0,-.05,-1592.454
1,.05,1592.454
0,-.015,-255.644
1,.015,255.644
0,0,-839.2825
1,0,839.2825
0,.02,-336.7736
1,-.02,336.7736
0,0,-2616.822
1,0,2616.822
0,.02,-2006.989
1,-.02,2006.989
0,.015,-515.4458
1,-.015,515.4458
0,0,-1230.726
1,0,1230.726
0,.0455,-488.4475
1,-.0455,488.4475
0,-.075,34.98682
1,.075,-34.98682
0,-.05,-463.1935
1,.05,463.1935
0,-.002,-867.6133
1,.002,867.6133
0,0,-1041.551
1,0,1041.551
0,-.0833,-904.2035
1,.0833,904.2035
0,-.05,-1041.551
1,.05,1041.551
0,.02,-64.50751
1,-.02,64.50751
