lntotalcashpad,royalty,numbids,advertisedacreage,totalcashpa_d
6.157862,.2,2,1940,472.417
6.263537,.166667,2,1940,525.0729
6.220473,.2,2,907,502.9411
6.263537,.166667,2,907,525.0729
7.555295,.2,3,409,1910.835
7.473152,.2,3,409,1760.145
7.361678,.166667,3,409,1574.476
7.313359,.2,2,103,1500.208
5.629432,.42,2,103,278.504
8.420189,.166667,2,276,4537.759
7.718824,.25,2,276,2250.313
6.622715,.166667,2,58.69,751.9837
6.25827,.166667,2,58.69,522.3147
6.983761,.1875,2,122,1078.969
5.403689,.251,2,122,222.2247
8.292631,.2,2,732,3994.329
7.962934,.2,2,732,2872.487
6.297215,.166667,2,40.56,543.0572
4.674531,.166667,2,40.56,107.1823
6.580486,.175,2,132,720.8898
6.848168,.166667,2,132,942.153
6.443469,.166667,2,200,628.5837
4.268717,.166667,2,200,71.42996
6.600862,.166667,2,55,735.7286
5.559701,.166667,2,55,259.7453
6.039282,.21,2,80,419.5916
5.362395,.166667,2,80,213.2351
6.939843,.2,2,45,1032.608
6.543529,.2,2,45,694.7336
6.039282,.21,2,70,419.5916
5.362395,.166667,2,70,213.2351
6.884612,.166667,2,215,977.1221
5.85082,.25,2,215,347.5193
6.950117,.166667,2,268,1043.271
6.322099,.166667,2,268,556.7404
6.935204,.2,2,650,1027.828
6.76085,.2,2,650,863.3759
6.683086,.166667,2,40,798.7802
6.069603,.166667,2,40,432.5092
4.200503,.25,2,690,66.71989
4.78829,.166667,2,690,120.0958
7.021882,.34,3,550,1120.894
6.503088,.38,3,550,667.1989
5.905251,.32,3,550,366.9594
7.021882,.34,3,635,1120.894
6.503088,.38,3,635,667.1989
5.905251,.32,3,635,366.9594
6.600839,.2,2,78.61,735.7122
5.66156,.166667,2,78.61,287.597
4.285203,.215,2,70,72.61725
5.810083,.166667,2,70,333.6468
7.633999,.25,2,247,2067.302
7.62299,.166667,2,247,2044.666
6.725454,.2,2,40,833.35
5.911578,.25,2,40,369.2884
6.755545,.215,2,1649.78,858.808
6.318238,.1875,2,1649.78,554.5948
6.575463,.3,2,60,717.278
6.473272,.166667,2,60,647.5995
8.452079,.265,2,80,4684.802
5.076541,.4,2,80,160.2189
6.188399,.25,2,638.5,487.0656
6.464401,.166667,2,638.5,641.8795
6.511626,.25,2,550,672.9196
6.659142,.2,2,550,779.8817
5.078393,.22,2,200,160.5159
5.532037,.166667,2,200,252.6581
6.435905,.275,2,130,623.8472
5.253368,.25,2,130,191.2092
7.134964,.25,2,119,1255.092
6.837332,.2,2,119,931.9992
7.140395,.2,2,202,1261.927
6.665673,.25,2,202,784.9919
6.173331,.1875,2,40.146,479.7817
5.777944,.1875,2,40.146,323.0943
6.161161,.2,2,177,473.9779
5.080599,.166667,2,177,160.8705
6.843636,.305,4,81,937.8934
6.70544,.2,4,81,816.8372
8.040964,.2,4,81,3105.607
6.65467,.3,4,81,776.4018
7.574973,.3,2,87,1948.807
7.200566,.23,2,87,1340.189
7.574973,.3,2,40.04,1948.807
7.200566,.23,2,40.04,1340.189
5.83722,.2547,2,80,342.825
5.956027,.166667,2,80,386.0733
8.21917,.2,2,206,3711.417
6.829132,.275,2,206,924.3879
6.59802,.2,2,252,733.6412
5.973466,.18,2,252,392.8649
6.002453,.29,2,64,404.4197
6.500628,.2,2,64,665.5593
9.639114,.4,4,40,15353.74
8.031674,.51,4,40,3076.89
8.985188,.21,4,40,7983.946
6.420239,.67,4,40,614.1497
5.594015,.2,2,1745.08,268.8126
5.006092,.2,2,1745.08,149.3201
5.835226,.2,2,1835.35,342.1422
5.006092,.2,2,1835.35,149.32
5.984258,.25,2,53,397.1277
6.519401,.2,2,53,678.1719
5.981559,.26,2,400,396.0573
5.500744,.2,2,400,244.8741
6.998591,.255,2,333,1095.089
5.737852,.2,2,333,310.397
5.761674,.2,2,115.37,317.88
5.529686,.1875,2,115.37,252.0647
6.495126,.2,3,45.299,661.9073
6.495126,.1875,3,45.299,661.9073
6.465652,.1875,3,45.299,642.6833
6.495124,.2,2,100,661.9067
6.495124,.1875,2,100,661.9067
6.01085,.2,2,147.54,407.8299
5.197256,.25,2,147.54,180.7755
5.016069,.25,2,132,150.8174
4.099779,.166667,2,132,60.32695
5.728289,.25,2,189,307.4427
5.509793,.2,2,189,247.1
5.72829,.25,2,63,307.443
5.905714,.2,2,63,367.129
5.108666,.27,2,65,165.4496
6.585603,.21,2,65,724.588
6.656966,.2087,2,483.6,778.1861
4.589873,.166667,2,483.6,98.48189
6.424133,.2,2,370,616.5458
5.754182,.166667,2,370,315.5074
7.092709,.3,2,573,1203.162
6.901392,.22,2,573,993.6564
7.141262,.2075,2,4010,1263.021
4.140898,.1875,2,4010,62.85922
7.568603,.2075,2,4010,1936.433
4.140898,.1875,2,4010,62.85922
7.626308,.3,2,710,2051.462
7.121654,.25,2,710,1238.497
6.85159,.24,2,640,945.3828
6.382813,.21,2,640,591.5892
7.141212,.2,2,1300,1262.958
6.549335,.2,2,1300,698.7795
6.194846,.166667,2,40,490.2161
5.654268,.166667,2,40,285.5074
6.691005,.333333,2,390,805.1307
6.89154,.217,2,390,983.9155
6.531123,.2,2,234.88,686.1682
5.455817,.26,2,234.88,234.116
6.80484,.2,2,246.98,902.2032
5.749578,.2,2,246.98,314.0581
6.667948,.17,2,655,786.7797
6.433501,.166667,2,655,622.349
6.592567,.17,2,495,729.6513
6.433501,.166667,2,495,622.349
5.780292,.166667,2,61.85,323.8538
4.959988,.3,2,61.85,142.5921
6.376181,.166667,3,303,587.6788
5.865292,.2,3,303,352.5851
6.270442,.1667,3,303,528.7107
6.726779,.225,2,300,834.455
6.544457,.2,2,300,695.3792
6.059949,.275,3,107,428.3536
6.469734,.2,3,107,645.3119
6.564809,.225,3,107,709.6767
6.591341,.27,3,51,728.7573
6.331264,.25,3,51,561.8664
6.469734,.2,3,51,645.3118
7.737167,.252,3,40,2291.97
5.741495,.46,3,40,311.5299
5.628167,.27,3,40,278.1517
5.676887,.166667,2,80,292.0387
5.628096,.1667,2,80,278.1321
7.425705,.255,2,350,1678.583
7.160394,.23,2,350,1287.418
6.621348,.25,2,272,750.9567
6.331194,.23,2,272,561.8268
6.753026,.2,2,1552,856.6469
6.593786,.206,2,1552,730.5418
5.911318,.235,2,330,369.1926
6.0981,.22,2,330,445.0114
6.949318,.266,2,273,1042.439
6.408328,.22,2,273,606.8782
5.197313,.1667,2,259.1,180.7858
4.996984,.1875,2,259.1,147.9663
6.349102,.23,3,327.96,571.9789
6.066351,.215,3,327.96,431.1048
6.372412,.2,3,327.96,585.4682
6.548857,.2,2,700,698.4454
5.741425,.21,2,700,311.508
5.32561,.2,2,93.22,205.5337
6.018722,.1667,2,93.22,411.0527
8.142145,.227,5,900,3436.281
5.922163,.2,5,900,373.2183
6.736676,.255,5,900,842.7549
5.450527,.275,5,900,232.8809
6.044828,.215,5,900,421.9254
8.863746,.265,2,406,7070.916
7.452612,.4,2,406,1724.361
6.716072,.1667,4,644.4,825.5685
5.284542,.175,4,644.4,197.2638
4.902551,.1667,4,644.4,134.6328
6.352759,.1875,4,644.4,574.0743
6.082644,.166667,2,286,438.1861
5.959849,.1667,2,286,387.5518
6.20467,.166667,2,192,495.0557
6.082612,.1667,2,192,438.1721
5.642609,.1875,2,56,282.1979
5.54849,.1875,2,56,256.8495
4.726318,.23,2,40.4,112.8792
5.312781,.1875,2,40.4,202.9137
7.906354,.26,2,417,2714.475
6.526756,.265,2,417,683.1786
6.787741,.25,3,70,886.9076
7.049106,.1688,3,70,1151.828
6.296916,.25,3,70,542.895
5.290881,.1875,2,65,198.5182
4.711062,.1875,2,65,111.1702
8.716662,.25,4,45,6103.772
4.064435,.1875,4,45,58.232
6.109191,.23,4,45,449.9746
7.477681,.21,4,45,1768.135
7.419112,.225,4,160,1667.553
5.936657,.25,4,160,378.6668
6.3205,.4,4,160,555.851
6.677175,.25,4,160,794.0728
6.02485,.25,2,320,413.5796
5.612964,.21,2,320,273.9551
6.515212,.25,2,750,675.3369
6.272265,.225,2,750,529.676
6.503377,.2625,2,290,667.3917
5.874918,.18,2,290,355.9952
7.083129,.255,2,51,1191.692
6.497514,.205,2,51,663.4901
6.840959,.245,2,435,935.3856
6.807116,.22,2,435,904.2589
7.597054,.285,2,158,1992.318
7.090375,.2675,2,158,1200.359
7.111547,.26,2,362.68,1226.042
5.576832,.17,2,362.68,264.2332
5.571603,.255,2,150.2,262.8551
